problem_id,title,difficulty,acceptance_rate_if_available,inferred_family,subfamily,state_shape,recurrence_shape,evaluation_order,transition_cost,likely_time_complexity,likely_space_complexity,top_down_or_bottom_up_preferred,optimization_primitives,representative_or_not,confidence,notes
1553,Minimum Number of Days to Eat N Oranges,Hard,36.2%,Bitmask DP,Subset/mask DP,dp[mask][extra],add/remove one element or transition bitmask,increasing mask/popcount,O(n) choices,O(n*2^n) typical,O(2^n),top-down or bottom-up,bit operations; precomputed compatibility,non-representative / later refinement,heuristic-high,Mask is likely from subset constraints or bitwise states.
1563,Stone Game V,Hard,41.8%,Game DP / Minimax Boundary,Interval score-difference DP,dp[l][r] or dp[i] depending variant,choose left/right/split; maximize score difference,increasing interval length or reverse index,O(1) to O(n),O(n^2) to O(n^3),O(n^2) or optimized,bottom-up or memoized recursion,prefix sums; score difference; monotonic optimizations,representative,manual-high,Most Stone variants are interval/game DPs; verify exact recurrence per variant.
1567,Maximum Length of Subarray With Positive Product,Medium,44.7%,Kadane / Local-Global DP,Local/global subarray DP,local state ending at i + global answer,extend previous subarray or restart / update transformed state,left-to-right,O(1),O(n),O(1),bottom-up scan,track min/max product; prefix extrema,non-representative / later refinement,heuristic-high,Subarray means contiguous; usually local state ending here is the key.
1569,Number of Ways to Reorder Array to Get Same BST,Hard,54.1%,Tree DP,Postorder tree DP,dfs(node) returns one or more states,combine child states at parent,postorder DFS,O(children states),O(n * state_count^2 typical),O(h) recursion plus state storage,recursive postorder,tuple states; rerooting if all-nodes answers,non-representative / later refinement,heuristic-high,Tree edges define dependency DAG from children to parent or reroot passes.
1575,Count All Possible Routes,Hard,64.8%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
1578,Minimum Time to Make Rope Colorful,Medium,65.2%,Bitmask DP,Subset/mask DP,dp[mask][extra],add/remove one element or transition bitmask,increasing mask/popcount,O(n) choices,O(n*2^n) typical,O(2^n),top-down or bottom-up,bit operations; precomputed compatibility,non-representative / later refinement,heuristic-high,Mask is likely from subset constraints or bitwise states.
1594,Maximum Non Negative Product in a Matrix,Medium,51.6%,Grid DP,Row/column path or shape DP,dp[r][c] or dp[step][r][c],combine from neighboring cells / directions,"row-major, reverse, or BFS-like layers",O(neighbor count),O(mn*state),O(n*state) if rolling,bottom-up or memo DFS,rolling rows; prefix sums; direction arrays,non-representative / later refinement,heuristic-high,Grid topology gives natural DAG if moves are acyclic; cyclic movement may require graph shortest path/BFS.
1595,Minimum Cost to Connect Two Groups of Points,Hard,50.1%,Bitmask DP,Assignment / coverage bitmask DP,dp[mask] or dp[i][mask],choose next item/person/group to expand covered mask,increasing mask/popcount or item index,O(n) choices per mask,O(n*2^m) typical,O(2^m),top-down memo or bottom-up mask,precompute contribution; sparse masks,representative,heuristic-high,Bitmask over covered requirements or assigned entities.
1611,Minimum One Bit Operations to Make Integers Zero,Hard,78.4%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
1617,Count Subtrees With Max Distance Between Cities,Hard,67.2%,Tree DP,Postorder tree DP,dfs(node) returns one or more states,combine child states at parent,postorder DFS,O(children states),O(n * state_count^2 typical),O(h) recursion plus state storage,recursive postorder,tuple states; rerooting if all-nodes answers,representative,manual-high,Tree edges define dependency DAG from children to parent or reroot passes.
1621,Number of Sets of K Non-Overlapping Line Segments,Medium,45.9%,Counting Combinatorics DP,Linear recurrence / finite-state counting,dp[i][state] or dp[i],append one unit/object and update state,increasing size/index,state-dependent,O(n * state_count * transitions),O(state_count),bottom-up,matrix exponentiation if needed; rolling states,non-representative / later refinement,heuristic-high,Counting DP often uses finite automaton states.
1626,Best Team With No Conflicts,Medium,50.7%,LIS / Sequence Optimization,Ordered subsequence / chain DP,dp[i] = best chain ending at i or tails[length],choose previous compatible item; or binary-search tails,sorted/index order,O(n) or O(log n),O(n^2) or O(n log n),O(n),bottom-up,patience sorting; parent reconstruction; sort key discipline,representative,manual-high,Compatibility relation defines previous choices; sort order is often the real trick.
1638,Count Substrings That Differ by One Character,Medium,72.3%,Tree DP,Postorder tree DP,dfs(node) returns one or more states,combine child states at parent,postorder DFS,O(children states),O(n * state_count^2 typical),O(h) recursion plus state storage,recursive postorder,tuple states; rerooting if all-nodes answers,non-representative / later refinement,heuristic-high,Tree edges define dependency DAG from children to parent or reroot passes.
1639,Number of Ways to Form a Target String Given a Dictionary,Hard,56.5%,Two-Sequence Alignment DP,Two-prefix/two-suffix sequence DP,dp[i][j] over prefixes/suffixes of two sequences,match/mismatch/delete/insert/skip transitions,row-major or reverse row-major depending prefix/suffix convention,O(1) to O(k),O(mn),"O(min(m,n)) if compressible",bottom-up or memoized recursion,rolling rows; suffix convention clarity,non-representative / later refinement,heuristic-high,Product state space of two sequence positions.
1641,Count Sorted Vowel Strings,Medium,79.2%,Counting Combinatorics DP,Linear recurrence / finite-state counting,dp[i][state] or dp[i],append one unit/object and update state,increasing size/index,state-dependent,O(n * state_count * transitions),O(state_count),bottom-up,matrix exponentiation if needed; rolling states,non-representative / later refinement,heuristic-high,Counting DP often uses finite automaton states.
1643,Kth Smallest Instructions,Hard,44.8%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
1653,Minimum Deletions to Make String Balanced,Medium,68.2%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
1655,Distribute Repeating Integers,Hard,40.6%,Knapsack / Capacity DP,Capacity / choice DP,dp[i][capacity] or compressed dp[capacity],include / exclude / repeat item; aggregate min/max/count,"item-major; reverse loop for 0/1, forward for unbounded",O(1) per item-capacity cell,O(n * capacity),O(capacity) if compressed,bottom-up usually,reverse/forward capacity loop; modulo counts; prefix sums,non-representative / later refinement,heuristic-high,"Loop order determines whether states count combinations, permutations, 0/1, or unbounded choices."
1659,Maximize Grid Happiness,Hard,41.0%,Grid DP,Row/column path or shape DP,dp[r][c] or dp[step][r][c],combine from neighboring cells / directions,"row-major, reverse, or BFS-like layers",O(neighbor count),O(mn*state),O(n*state) if rolling,bottom-up or memo DFS,rolling rows; prefix sums; direction arrays,representative,manual-high,Grid topology gives natural DAG if moves are acyclic; cyclic movement may require graph shortest path/BFS.
1668,Maximum Repeating Substring,Easy,41.6%,Tree DP,Postorder tree DP,dfs(node) returns one or more states,combine child states at parent,postorder DFS,O(children states),O(n * state_count^2 typical),O(h) recursion plus state storage,recursive postorder,tuple states; rerooting if all-nodes answers,non-representative / later refinement,heuristic-high,Tree edges define dependency DAG from children to parent or reroot passes.
1671,Minimum Number of Removals to Make Mountain Array,Hard,54.8%,LIS / Sequence Optimization,Ordered subsequence / chain DP,dp[i] = best chain ending at i or tails[length],choose previous compatible item; or binary-search tails,sorted/index order,O(n) or O(log n),O(n^2) or O(n log n),O(n),bottom-up,patience sorting; parent reconstruction; sort key discipline,representative,manual-high,Compatibility relation defines previous choices; sort order is often the real trick.
1681,Minimum Incompatibility,Hard,41.1%,Knapsack / Capacity DP,Capacity / choice DP,dp[i][capacity] or compressed dp[capacity],include / exclude / repeat item; aggregate min/max/count,"item-major; reverse loop for 0/1, forward for unbounded",O(1) per item-capacity cell,O(n * capacity),O(capacity) if compressed,bottom-up usually,reverse/forward capacity loop; modulo counts; prefix sums,representative,manual-high,"Loop order determines whether states count combinations, permutations, 0/1, or unbounded choices."
